löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0011,G,Tingsryd,Södra Sandsjö,Föreningen Folkets Hus & Park,1909,Konga Folkets Hus & Park,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda",Örmo 1:64,,,Wilhelm Sandell,1920,inne i tätortsbebyggelse,Om- och tillbyggt 1961-1962,,,,"Cesar, Bror: 60 händelserika år i Folketshusföreningens historia [Folkets Hus Södra Sandsjö], 1980 Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999","Södra Sandsjö Hembygdsförening 6 vol.  1919-1962, kontakta Kronobergsarkivet. 3 vol 1939-1964 Kronobergsarkivet","LS, FHP-enkät, SF. NAD, FA",
0012,G,Tingsryd,Tingsås,Tingsryds Folkpark förening u p a,1914,Tingsryds Folkets Hus & Park,,,,,,,1937,,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Kronobergsarkivet 21 vol. 1913-1995,LS,Föreningen övertog byggnaden i början av 1970-talet.
0013,G,Tingsryd,Almundsryd,Byggnadsföreningen Folkets Hus Ryd,1933,Ryds Folkets Hus,,,,,,,1930-talet,,Tillbyggt i mitten av 1970-talet. Om- och tillbyggt 1993.,,,,"Carlsson, Josef: Ryds Folkets Hus [Folkets hus Almundsryd], 1975 Ryds Folkets Hus. [Almundsryds Folkets Hus], 1993 Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,"LS, SF, FHP",
0014,G,Tingsryd,Älmeboda,,,Yxnanäs Folkets Hus,,,,,,,1943,,Renoverat i början av 1980-talet.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0015,G,Uppvidinge,Älghult,,,Alstermo Folkets Park,,,,,,,,,,,,,"Nu eller aldrig : historien om en Folkpark och människorna som aldrig gav upp : Hasselbacken från 1930-talet och inför 2000-talet  [Artikel] Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0016,G,Uppvidinge,Älghult,Alstermo Folkets husförening,,Alstermo Folkets Hus,,,,,,,1962,,Renoverat på 1980-talet.,,,,"Woltfors, Elving: Alstermo Folkets Hus 50 år, 1989 Woltfors, Elving: Byggnadsföreningen Folkets Hus u p a Alstermo 11 november 1923-28 mars 1941, 1991 Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Kronobergsarkivet,"LS,  FA",
0017,G,Uppvidinge,Älghult,Fröseke byggnadsförening upa,1945,Fröseke Folkets Hus,ekonomisk förening upa,"fackförening, enskilda",Älghults-Fröseke 1:92,Skolgatan,,Bengt Eriksson Bel. och Bygg,1984,i anslutning till tätortsbebyggelse,,"scen, biograf, kök, studielokal, föreningsexpedition dansbana 1985","mötesverksamhet, bio",,"Elling, Gunnar: Fröskebygden får efterlängtad samlingslokal [Fröseke Folkets Hus], 1967 Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",I lokalen 1945-,LS,Föreningen har haft ett tidigare FH på samma plats. Nedbrunnet.
0018,G,Uppvidinge,Lenhovda,,1908,Hökhult Folkets Hus,,,,,,,1910,,Tillbyggt 1927 och på 1940-talet.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0019,G,Uppvidinge,Nottebäck,Klavreströms Folkets Hus och Park upa,1925,Klavreström Folkets Hus och Park,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda",Kv Artisten 6:28,"Bruksgatan 54, Klavreström",,,1955-1956,inne i tätortsbebyggelse,"1979-1980 allmän upprustning, hiss och handikapptoalett 1985 jordvärme","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, dans, konstutställningar, studiecirklar, webcafé, auktioner",,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",I lokalen 1925-,"LS, FHP-enkät",Föreningen har haft tidigare FH på samma plats. Rivet.
0020,G,Uppvidinge,Nottebäck,Lindshammars byggnadsförening,1922,Lindshammar Folkets Hus,,,,,,,1957,,Renoverat 1994.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999 Första samlingslokalen: Folkets Hus i Lindshammar Metalls avd 272 Norrhult",ARAB: Folkets husföreningar vol. 2 [samling] fotografier Kronobergsarkivet 1948-1968,"LS, FA",
0021,G,Uppvidinge,Nottebäck,Byggnadsföreningen Folkets Hus och Park i Norrhult,1908,Norrhults Folkets Hus och Park,,,,,,,"FP 1909, FH 1936",,Tillbyggt på 1940-talet. Renoverat på 1950-1960-talen.,,,,"Norrhults Folkets Hus och Park: Jubileumsskrift 1908-1948, 1948 Gustafssson, Hans: I samhällets och folkrörelsernas tjänst 1937-1962, Åseda 1962 Liebel, Alfons: Byggnadsföreningen Folkets Hus, Norrhult, 1980",Kronobergsarkivet 1909-1916 ARAB: Organisationsklipp vol. 26 [samling],"LS, SF, FA, Östra Småland 28 mars 1937,",Norrhults Folkets Hus med tillhörande byggnader och park har förklarats för byggnadsminne år 1999.
0022,G,Uppvidinge,Lenhovda,Sävsjöströms byggnadsförening,1923,Sävsjöström Folkets Hus och Park,ideell förening,"fackförening, enskilda",Folkets husvägen 17,,,,1923,inne i tätortsbebyggelse,"Renoverat och tillbyggt på 1960-talet. Renoverat 1994. Helrenovering av både hus och park 1998. EU, kommun, Boverket och Länsstyrelsen har bidragit med pengar till detta projekt.",,,,"En 50-årig verksamhet 1923-1973. Sävsjöström Byggnadsförening ARAB: Folkets husföreningar vol. 3 [samling] Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",ARAB: Folkets husföreningar vol. 3 [samling] FA Växjö,"LS, FHP-enkät, SF",
0023,G,Uppvidinge,Åseda,,,Åkvarn Folkets Hus,,,Åkvarn 1:23,,,,1924,,Renoverat på 1950-talet.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0024,G,Uppvidinge,Åseda,,,Åseda Folkets Hus,,,,,,,1951,,Renoverat 1981. Renoverat och tillbyggt 1994.,,,,"Carlsson, Uno: Vårt Folkets Hus, 1977 Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Kronobergsarkivet: historik,"LS, FA",
0025,G,Uppvidinge,Åseda,Föreningen Åseda Folkets Park upa,1912,Åseda Folkets Park,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda","Stg 574, Åseda",Trädgårdsgatan,Brügger (dansrotunda 1964),Emo (dansrotunda 1964),1912,inne i tätortsbebyggelse,"dansrotunda med servering 1964 tak över sittplatser teaterscen 1951 toaletter 1964, 1981 upprustning av teatern 1980 ny entré 1981",teatersalong inomhus 1936 dansbana 1964 gamla dansbanan 1928 kök och servering 1964,"teater, dans, uthyrningar",,"Ivarsson, Kenneth: Ivarsson, Kenneth, 1981 Pettersson, Josef: Folkparksveteranen Josef Pettersson berättar. (Från Åseda föreningsliv), 1981 Åseda folkets park 70 år, Styrelsen, Åseda, 1982",I lokalen,"LS, FHP-enkät, SF, FPC",
0026,G,Uppvidinge,Älghult,,,Verdandiparken,,Älghults Skytteförening,Kylle 1:3,,,,1927,,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Kronobergsarkivet 2 vol 1939-1984,"LS, FA",
0027,G,Växjö,Öja,Gemla Folkets Park upa,1926,Gemla Folkets Park,ekonomisk förening upa,"fackförening, enskilda",Getaskärv 2:37,Granholmsvägen,,,1926,inne i tätortsbebyggelse,,"friluftsscen, dansbana",dans,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999","i lokalen 1926- protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer","LS, FHP-enkät, SF, FPC",
0028,G,Växjö,Jät,Jäts Folkets husförening,1936,Jäts Folkets Hus,,,,,,,1937,,Renoverat 1966. Tillbyggt och renoverat 1993.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,"LS, SF",
0029,G,Växjö,Aneboda,Lammhults byggnadsförening upa,1915,Lammhult Folkets Hus,ideell förening,,"Ljungsåsa 1:20, 49","Jönköpingsvägen 10, Lammhult",,,1937,inne i tätortsbebyggelse,Tillbyggt och renoverat 1983.,"scen, biograf, kök, studielokal, föreningsexpedition","mötesverksamhet, bio",,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999","Kronobergsarkviet 20 vol. 1911-1993: protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, fotografier, affischer ARAB: Organisationsklipp vol. 26 [samling]","LS, FHP-enkät, FA, Smålands Folkblad 13 jan 1956","Föreningen hade ett tidigare FH på samma plats, som brann ner 1937."
0030,G,Växjö,Dädesjö,Ramnåsa Folkets husförening,1918,Ramnåsa Folkets Hus,,,,,,,1918,,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,"LS, SF, NM",
0031,G,Växjö,Växjö,Byggnadsföreningen Folkets Hus,1902,Växjö Folkets Park,,,Kv Örnen 28,,,,1910,,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999 Växjö Folkets Park 1910-1935, 1935 Växjö Folkpark 1910-1960, 1960",Kronobergsarkivet 104 vol. 1903-1985 ARAB: [samling]: organisationsklipp vol. 27,"LS, SF, FPC, FA, Kronobergaren 30 mars 1935",
0032,G,Älmhult,Stenbrohult,Byggnadsföreningen Urania,,Diö Folkets Hus,,,,,,,1912,,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0033,G,Älmhult,Älmhult,Byggnadsföreningen Älmhults Folkets Hus upa,1925,Älmhults Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun",Folkparken 3,"Skolgatan 18, Älmhult",,E.W.J. Älmhult,1962,i anslutning till tätortsbebyggelse,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",I lokalen samt Kronobergsarkivet; Älmhults Folkets husförening: Fragment 1946-1958 Se Stockholms företagsminnen: Konsumtionsföreningen Älmhult med omnejd,"LS, FHP-enkät, NAD",
0034,BD,Arvidsjaur,Arvidsjaur,Abborrträsk folketshusförening,1954,Abborrträsk Folkets Hus,Ideell förening,Enskilda,Abborrträsk 8:2,,,,1973,Utanför tätortsbebyggelse,Nej,"Kök, servering, studielokal, danslokal",mötesverksamhet,,Nej,"I lokalen. Protokoll, räkenskaper","FHP-enkät, NM",Enligt uppgift från NM fanns ett tidigare FH som brann ned 1972.
0035,O,Göteborg,,Aftonstjärnans Kulturförening,1988,Föreningshuset Aftonstjärnan,ideell förening,enskilda,Lindholmen 735-745,Plåtslagaregatan 2,,,1903,inne i tätortsbebyggelse,1988-1995,"scen, biograf, kök, studielokal, föreningsexpedition, festlokal","mötesverksamhet, föreningsexpedition, teater, bio, studiecirklar",Nykterhetsföreningen Aftonstjärnan,"Föreningshuset Aftonstjärnan, Lindholmen, Länsstyrelsen/ antikvarie D Andersson, Göteborg, 1994 (Dokumentation inför byggndsminnesförklaring)",i lokalen fotografier 1905-2000,FHP-enkät,Byggnadsminnesförklarat
0036,Z,Strömsund,,,,Alanäsets Folkets Hus,,,,,,,,,,,,,,,FHP,
0037,Z,Bräcke,,Albackens folketshusförening,1925,Albackens Folkets Hus,,,,,,,1925,,,,,,,ARAB FH och FP samling: övriga landet vol. 4 fragment samt organisationsklipp vol 6.,"FHP, SF, ARAB, Länstidningen 14 april 1954",
0038,O,Ale,Starrkärr,Ale Folkets husförening,1921,Nols Folkets Hus (Nol),ekonomisk förening upa,"fackförening, s-förening, SSU-klubb, enskilda",Nol 2:234,Noltorget 10,,,1969,Inne i tätortsbebyggelse,,,,,,"I lokalen. Protokoll, verksamhetsberättelser ARAB: Folkets husföreningar vol 2 [samling]",FHP-enkät samt följebrev.,
0039,O,Alingsås,,Föreningen Folkparkens vänner,1926,Alingsås-Parken,,,,,,,1915,,,,,,"Folkets Park, Alingsås : 1915-1930 Sommarens festprogram 1946 : Alingsås Folkets Park",,"FHP, SF, FPC, NM",tidigare nyttjades förhyrda lokaler
0040,O,Alingsås,,Alingsås Folkets husförening,1907,Alingsås Folkets Hus,,,,,"Helge Zimdahl, Stockholm",,1934,,,,,,,"Folkrörelsernas arkiv i Alingsås (NAD) ARAB: FHP-samling övriga orter vol 4: fragment (klipp, cirkulär, stadgar, skrivelser)","FHP, SF, NAD, ARAB","Se även Folkets Hus Teateramatörer, amatörklubben Tiljan, Alingsås"
0041,Y,Sundsvall,Alnö,Byggnadsföreningen Tor,1896,"Tors lokal, Alnö Folkets Hus, Hörningsholm",ekonomisk förening,"rösträttsförening, fackförening",,,,,1896,,,,,,"Folke Strömbäck-Jan-Bertil Schnell: Tor - ett Folkets Hus på Alnö, Sundsvalls museum 1979 Jan-Bertil Schnell: Föreningslokalen Tor, 3 s. Sundsvalls kommun Karl Boberg: Byggnadsföreningen Tor - återblick 1896-1976 5 s.",ARAB: Folkets Husföreningar vol 1 [samling],"FHP, Sundsvalls museum",
0042,H,Nybro,Kråksmåla,Alsterbro byggnadsförening,1922,Alsterbro Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda",Hinshult 2:45,Parkvägen 16,,,1923,Inne i tätortsbebyggelse,"1958 restaurerades gamla delen samt nybyggdes biograf, toaletter samt studierum.","scen, biograf, kök, studielokal, danslokal","mötesverksamhet, bio, studiecirklar",,,"I lokalen. protokoll, räkenskaper, verksamhetsberättelser, ritningar ARAB: FHP-samling övriga orter vol. 4 fragment","FHP-enkät, SF",Har även haft FP kring FH.
0043,M,Trelleborg,,Anderslövs Folkets husförening,1929,Anderslövs Folkets Park,,,Sörby 8:13,,,,1932,,,,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 51",ARAB: [samling]: organisationsklipp vol. 11 ARAB: Organisationsklipp vol. 11,"FHP, SF, inventering Malmö, ARAB: Arbetet 1 dec 1949 Arbetet 1 dec 1949",
0044,F,Gislaved,Anderstorp,Anderstorps byggnadsförening,1936,Anderstorps Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda",Anderstorp 9:346,Allégatan 2,,,1939,,"1985 renovering för 3,8 miljoner","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, bio, kursverksamhet",,,"I lokalen: kontakta Folkrörelsernas arkiv för Jönköpings län 1934-1977 protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar","FHP-enkät, NAD",
0045,F,Aneby,,,1939,Aneby Folkets Park,,,,,,,,,,,,,,Folkrörelsernas arkiv i Jönköpings län 13 vol. 1939-1984,"FHP, FPC, FA, NAD",
0046,H,Västervik,Ankarsrum,Föreningen Folkets Hus i Ankarsrum upa,1913,Ankarsrum Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, SSU-klubb, enskilda",Axhult 1:11,Parkvägen,,,1931,Inne i tätortsbebyggelse,,"scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, bio, dans, konstutställning, studiecirklar, Unga örnar och PRO",,,"I lokalen och på Norra Kalmar läns Folkrörelsearkiv. 1909-1993 protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier ARAB samling FHP övriga landet vol. 4 spridda år","FHP-enkät, SF","Föreningen har haft ett tidigare FH, byggt 1913."
0047,AC,Storuman,,Ankarsunds Folkets husförening,1953,Ankarsunds Folkets Hus,ekonomisk förening,,,,,,,,,,,,,"1953-1973 privat förvaring, kontakta folkrörelsearkivet i Västerbotten","FHP, NAD",
0048,M,Staffanstorp,Staffanstorp,Arbetarnas fastighetsförening i Staffanstorp upa,1904,Staffanstorps Folkets Hus,ekonomisk förening upa,"arbetarekommun, s-förening, enskilda",Staffanstorp 1:72,Lundavägen 20,,,1904,inne i tätortsbebyggelse,"Om- och tillbyggnad 1982: större entré och kök, samt fler toaletter.","kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, dans, studiecirklar, uthyrning till fester",Bostad och föreningslokal,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 48",Arbetarrörelsens arkiv Malmö Protokoll 1904-1939.11 och 1960-1982 1939.12-1960.04 saknas Skånes arkivförbund,"FHP-enkät, SF, inventering  Malmö",
0049,U,Arboga,,Föreningen Folkets Park upa i Arboga,1928,Arboga Folkets Park,,,,,,,1906,,,,,,,ARAB: [samling]: Organisationsklipp vol. 28,"FHP, SF, FPC, Västmanlands Folkblad  9 juli 1936 och 3 juli 1956",Föreningen bildades 1905 under namnet Föreningen Folkets Hus upa i Arboga.
0050,BD,Arjeplog,,Arjeplogs biografförening,,,,,,,,,,,,,,,,,FHP-enkät,
0051,M,Kristianstad,Oppmanna,ArkelstorpsFolkets Husförening upa,1907,Arkelstorps Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda","Kristianstad, Arkelstorp 2:7, 2:10, 2:13",Torparebacken 14,,Aug. Åkesson,1908,i anslutning till tätortsbebyggelse,"1991 restaurering ute och inne, ny entré, loge, scen, förråd","scen, kök, studielokal, danslokal","mötesverksamhet, dans, konstutställningar, studiecirklar",,"Kort översikt över Arkelstorps Folkets husförenings 25-åriga verksamhet, 1932",I lokalen: 1907- ARAB samling FHP övriga landet vol 4: affisch 1911 FP,"FHP-enkät, SF",
0052,S,Arvika,Arvika,Folkets Park i Arvika upa,1923,Arvika-parken,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, kommun",Parken 1,Friluftsgatan,,,1923,I anslutning till tätortsbebyggelse,"1981 invigdes en ny anläggning i parken, omfattande restaurang, konferensdel, festlokaler.","friluftsscen 1932, dansbana 1923, restaurang 1923, 1950, 1981","mötesverksamhet, dans, restaurang, konserter, nöjeskvällar",,Minnesskrift vid Arvika Folkets Parks 25-årsjubileum 1948 Arvika Folkets Park : 1923-50 år-1973 Arvika-Parken 75 år 1923-1998.,"I lokalen Protokoll, verksamhetsberättelser, ritningar, fotografier, affischer Folkrörelsernas arkiv för Värmland  1 vol. 1925-1926","FHP, SF, FPC, NAD",
0053,S,Arvika,Arvika,Föreningen Folkets Hus i Arvika,1906,Arvika Folkets Hus,ekonomisk förening,,,Styckåsgatan 32,,,,,,,,,,"A. Folkrörelsernas arkiv för Värmland 41 vol. 1902-1984 B. ARAB: FHP-samling övriga orter vol. 4: fragment: affischer, skrivelser, andelsbevis, revisionsberättelser","FHP, SF, NM, ARAB, NAD",Revs 1944
0054,T,Askersund,,Folkets Hus Askersund,1986,Askersund Folkets Hus,ideell förening,,Tägaren 2,Lilla bergsgatan 57,,,1897,inne i tätortsbebyggelse,Det enda som är gjort är omläggning av taket. Byggnaden är kulturmärkt.,"scen, biograf, kök, studielokal, danslokal","mötesverksamhet, bio, uthyrning",bostad och Hantverksföreningens lokal,,"I lokalen protokoll, verksamhetsberättelser, affischer",FHP-enkät,
0055,M,Landskrona,Rönneberga,Asmundtorps Folkets husförening upa,1923,Asmundtorps Folkets Hus,ekonomisk förening upa,"s-förening, enskilda, kommun",Asmundtorp 1:27,,,,,inne i tätortsbebyggelse,,"scen, kök, studielokal","mötesverksamhet, föreningsexpedition, dans, studiecirklar, samkväm",,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 39",ARAB: FHP-samling övriga orter vol 4: fragment: stadgar 1924 Arbetarrörelsens arkiv i Landskrona 2 vol. 1851-1968,"FHP-enkät, SF, inventering  Malmö, AA, NAD","Föreningen inköpte fastigheten med befintlig byggnad 1924, och byggde om den. 1967 övertogs huset av kommunen."
0056,T,Askersund,Hammar,Aspa bruk Folkets Hus,1930,Aspa bruk Folkets Hus,ideell förening,"fackförening, arbetarekommun, s-förening, enskilda",Olshammar 6:2,Bruksvägen 22,,,1962,inne i tätortsbebyggelse,,"scen, kök, restaurang, studielokal",mötesverksamhet,,,I lokalen 1 vol. 1952-1977 kontakta Folkrörelsearkivet i Örebro,FHP-enkät,
0057,T,Örebro,Axberg,Föreningen Folkets Hus i Axberg upa,1919,Axberg Folkets Hus / Folkets Hus i Dylta bruk,ekonomisk förening upa,"s-förening, enskilda",Berga 1:7 Dylta bruk,"Seltorpsvägen, 71840, Dylta bruk",,,1925,inne i tätortsbebyggelse,"Byggnaden började restaureras 1982. Ytter- och innertak var förfallet. 1988 genomfördes en omfattande om- och tillbyggnad. Ny entré, kök, toaletter, ventilation, osv. Kostnad 1,6 milj.","scen, kök, studielokal, dans- och festlokal","mötesverksamhet, teater 1-2 ggr/år, dans, privata fester, studiecirklar",,"Föreningen Axbergs Folkets Hus 75 år, Styrelsen, Dylta bruk, 1994","I lokalen och hos styrelseledamöter 1982-1999, äldre material osorterat 1933-1982 protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar. Kontakta Folkrörelsernas arkiv i Örebro. ARAB: FHP-samling: övriga orter; vol 4: fragment: stadgar 1921 Se även NAD: Ervalla sportklubb och SSU Axberg","FHP-enkät, SF, NM, ARAB, NAD, FA","Föreningen hade ett tidigare hus på samma plats, som byggdes1920 och revs för att bygga det nya."
0058,O,Göteborg,,Backa Folkets Husförening,1985,Backa Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda, Centern-Hissingen, V-Hissingen, Folkpartiet",,Grenåsgatan 2,Sven Wedenmark,,1940,i anslutning till tätortsbebyggelse,Renovering och ombyggnad 1993 av Göteborg stad.,"scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, bio, teater, dans, studiecirklar",,Tingstad gamla brukssamhälle ; skildrat genom åtta keramikrelilefer i A-salen Tingstad-Backa Folkets Hus.,ARAB: [samling] organisationsklipp vol. 6,"FHP-enkät, Ny Tid 12 aug 1939",
0059,AB,Stockholm,,Bagarmossens Folkets Hus,1989,Bagarmossens Folkets Hus,kommunalt bolag,kommun,Stadsfogden 12,Lillåvägen 44,Allan Pettersson EGÅ Arkitektkontor,Kullenbergs,1991,inne i tätortsbebyggelse,,"scen, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, dans, konstutställning, studiecirklar",,,"I lokalen 1985- protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier",FHP-enkät,
